French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
main,hand
côté,side
pouvoir,power
tiens,here
matin,morning
enfant,child
point,point
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
